funded_amnt,TermInMonths,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,total_acc
0.167757301,36,-0.573367946,0.260333427,3,0,-0.825920947,3,2,-0.756368766,-0.524224068,-1.23313653
-0.098913623,36,-1.402444529,-0.110600395,4,0,-0.771156582,2,2,0.107687328,-0.296906848,0.129656478
-0.205581992,36,-1.637977649,-0.241312038,5,0,-0.743774399,2,8,-0.406662164,-0.751541289,-1.038451815
-1.298932778,36,-0.990261568,-1.321627944,9,0,-0.880685312,2,0,0.394855158,-0.296906848,0.226998835
-0.498920008,36,0.097901446,-0.400662267,7,0,-0.606863486,1,10,-1.573201705,-0.751541289,-1.135794173
-0.898926393,36,-1.164556077,-0.91286554,2,0,-0.743774399,2,0,0.426762695,-0.751541289,-1.330478888
0.701099147,36,-1.637977649,0.66815546,1,0,-0.552099121,3,2,-0.448780112,-0.524224068,-0.746424742
-0.365584546,36,-0.644027882,-0.317140178,5,0,-0.333041659,2,1,0.798166422,-0.296906848,-0.8437671
-0.632255469,36,-0.137631674,-0.566082167,2,0,-0.141366381,1,2,-0.613423002,-1.43349295,0.03231412
-0.632255469,36,0.260419299,-0.537785533,3,0,-0.552099121,1,1,-1.31666511,-0.069589628,0.908395339
0.967770071,36,-1.402444529,0.975229508,5,0,1.583711126,1,2,-0.878893707,-0.524224068,0.421683551
-1.218931501,36,-1.637977649,-1.257810913,6,0,0.351512907,3,2,-1.014181663,1.521630916,0.324341193
0.501095955,36,1.209617773,0.881406076,10,0,-0.77890574,3,2,-0.355610105,1.748948136,0.421683551
0.114423116,36,-2.078424583,0.029985148,1,0,-0.196130746,3,1,1.150425627,-0.524224068,-0.162370596
1.634447379,60,-0.410850093,0.698119117,6,0,0.680099099,2,2,1.394199207,0.839679254,-0.065028238
-0.898926393,36,-1.199886045,-0.914660794,2,0,-0.880685312,2,2,-1.121390986,-1.20617573,-1.23313653
1.634447379,60,0.87045008,1.006304512,6,0,3.774285738,2,10,-1.026944677,-0.978858509,-0.551740026
0.701099147,36,-0.048129088,0.914661033,10,0,0.269366359,2,2,0.907928348,-0.296906848,1.29776477
0.967770071,36,-1.199886045,1.009553068,10,0,0.378895089,2,2,-0.207559135,0.157727593,2.465873063
1.634447379,36,-0.410850093,1.866915435,10,0,0.430647415,3,2,-0.552160531,0.839679254,-0.162370596
-0.898926393,36,-0.048129088,-0.854647993,3,0,-0.85330313,3,1,-1.284757574,-0.978858509,-1.330478888
0.434428224,36,-0.969063588,0.491322869,1,0,0.07769108,1,2,0.841560672,1.294313695,0.908395339
-1.165597316,36,-0.644027882,-1.170441849,5,0,-0.716392217,2,2,-0.284137223,1.066996475,1.200422413
-0.098913623,36,-1.939460042,-0.164415293,4,0,-0.743774399,2,0,1.168293847,0.157727593,2.855242494
0.034421839,36,-1.637977649,-0.000576927,4,0,-0.469952573,1,10,-1.92546091,-0.978858509,-0.8437671
-0.418918731,36,-1.637977649,-0.455332048,1,0,-0.333041659,2,2,-0.000798297,0.839679254,-0.454397669
-1.432268239,36,1.028257271,-1.424983324,1,0,0.335083597,2,2,-0.555989436,-1.43349295,-1.525163604
0.301092762,36,-0.644027882,0.393951672,4,0,-0.018146559,3,2,-1.393243198,-0.978858509,-0.162370596
-0.898926393,36,0.338145229,-0.83395982,3,0,-0.333041659,1,1,-0.654264649,-0.524224068,0.421683551
-0.685589654,36,-0.203580947,-0.629172548,3,0,-0.113984198,2,12,-0.886551516,2.430899798,0.421683551
-0.365584546,36,-1.199886045,-0.364885405,3,0,-0.804015201,2,1,-1.288586478,-0.751541289,-0.357055311
-0.578921285,36,0.568967687,-0.454348932,8,0,-0.387806025,1,2,-0.136086253,-0.069589628,0.519025909
1.634447379,36,1.209617773,2.231480378,5,0,2.487323153,2,2,-0.489621759,-0.296906848,-1.135794173
0.967770071,60,-0.644027882,0.167535855,6,0,-0.552099121,6,2,-0.032705834,0.157727593,-0.065028238
0.167757301,36,-0.203580947,0.305642237,10,0,-0.524716938,2,2,-0.6989352,-1.20617573,-1.330478888
-0.632255469,36,-1.703926922,-0.673711963,2,0,-0.40292099,3,2,0.573537363,-0.978858509,-1.038451815
-0.098913623,36,-0.278951546,0.005578232,5,0,-0.086602016,3,2,-0.877617405,-1.660810171,-0.357055311
0.301092762,36,-0.410850093,0.424428259,2,0,0.48842382,2,2,0.726693539,1.521630916,0.324341193
0.114423116,36,-2.078424583,0.029985148,6,0,-0.957355424,2,2,-1.134154,-0.978858509,0.713710624
-0.898926393,36,-1.402444529,-0.924962137,2,0,-0.765680145,3,2,-0.850815075,-0.978858509,-1.427821246
2.967801996,60,1.996298394,2.506539049,8,0,0.828976026,1,2,-0.615975605,0.839679254,1.005737697
0.221091485,36,1.028257271,0.523765687,1,0,-0.743774399,2,2,-1.481308,-1.660810171,-1.135794173
-0.098913623,60,-0.410850093,-0.569330723,6,0,-0.387806025,2,2,-0.618528208,0.612362034,-0.357055311
-0.165581354,36,-1.703926922,-0.207544151,5,0,-0.732821526,1,2,-0.788276303,0.385044813,0.03231412
1.634447379,60,1.560562122,1.180572454,9,0,-0.360423842,2,2,0.88367862,-0.296906848,0.226998835
0.561096913,60,1.445150893,0.220324893,1,0,-0.771156582,1,2,0.42293379,-1.20617573,-1.23313653
-0.365584546,60,-0.203580947,-0.744923734,6,0,-0.634245669,0,2,-0.345399693,-0.296906848,-0.551740026
-1.098929585,36,-0.969063588,-1.111925094,10,0,-1.017596226,3,8,0.57098476,-0.069589628,0.226998835
-1.205597955,36,-1.939460042,-1.253707473,5,0,-0.661627851,3,1,1.163188641,0.612362034,1.005737697
-1.505602743,36,-1.637977649,-1.545350879,3,0,-1.017596226,2,2,1.001098355,-0.069589628,0.03231412
1.501111917,36,1.209617773,2.072643078,2,0,0.817010012,3,2,-0.687448487,0.385044813,0.03231412
-0.738923839,36,-1.703926922,-0.780273154,4,0,-0.333069042,2,2,-0.282860922,-0.524224068,-0.649082384
-0.898926393,36,-1.637977649,-0.936802269,2,0,0.886944106,2,2,-0.80359192,1.066996475,0.324341193
0.034421839,36,-0.644027882,0.10953203,7,0,-0.96283186,1,2,-0.383688737,-1.20617573,-1.330478888
-0.832258662,36,-1.637977649,-0.869950403,2,0,0.474732729,3,5,-2.104143116,-1.20617573,-1.427821246
1.634447379,60,1.329739665,1.121671001,10,0,-0.086602016,6,1,0.00558321,1.294313695,0.616368266
0.434428224,36,-1.199886045,0.459777679,10,0,-0.794321908,2,2,0.000478004,-0.978858509,-1.23313653
-0.6989232,36,-0.969063588,-0.69371623,2,0,-0.168748564,2,2,-1.131601398,-1.20617573,-0.941109457
